name,fipe_cod
Fiat,1196
VW - VolksWagen,1112
Mercedes-Benz,905
GM - Chevrolet,840
Ford,805
Renault,674
BMW,463
Audi,446
Peugeot,433
CitroÃ«n,404
Toyota,388
Mitsubishi,386
Land Rover,363
Porsche,346
Nissan,338
Hyundai,308
Honda,267
Volvo,223
Kia Motors,219
Jeep,145
Jaguar,138
MINI,137
Suzuki,111
Subaru,109
Maserati,66
CHERY,64
JAC,63
Ferrari,62
Agrale,61
Lexus,59
EFFA,51
JINBEI,45
SSANGYONG,43
Fibravan,42
LAMBORGHINI,42
Dodge,38
Chrysler,38
SHINERAY,28
smart,28
HAFEI,28
LIFAN,26
CHANA,24
BRM,24
ASTON MARTIN,23
Troller,23
Mahindra,22
FOTON,21
Rolls-Royce,19
Fyber,15
RELY,14
Bugre,14
Wake,14
Buggy,10
CHANGAN,8
TAC,7
MG,5
RAM,5
Walk,5
GEELY,4
GREAT WALL,3
LOBINI,2
